student_id,prolog_score,haskell_score,TotalScore,BinaryScore,avDiffratioAlll,avDiffratioCompleted,avdiffDeadline.1,nmbrDecemberSubs,nmbrCompleteDecemberSubs,nmbrJanuarySubs,nmbrCompleteJanuarySubs,nmbrSuccessTestsJanuary,nbCompleteOnTimeSubs.1,nmbMorningSubsOnTIme,nmbDaySubsOnTIme,nmbNightSubsOnTIme,nmbrAlmostCheat.1,nmbrCheat.1,nmbrCheatOnTime.1,nmbMorningubsOnTImeCompleted,nmbDaySubsOnTImeCompleted,nmbNightSubsOnTImeCompleted,nmbMorningubsOnTImeCompleted.1,nmbDaySubsOnTImeCompleted.1,nmbNightSubsOnTImeCompleted.1,nbMorningCompleteSubs,nDayCompleteSubs,nbNightCompleteSubs,nbMorningSubs,nmbDaySubs,nmbNightSubs,nmbrOctoberSubs,nmbrCompleteOctoberSubs,avNmbrShort_05,avNmbrQuiteShort_075,avNmbrQuiteLong_15,avNmbrLong_2,avNmbrAroundSol_0.25,avStyleLengthCompltedSubsJanuary,avStyleLengthCompltedSubsOctober,avStyleLength,Avsubtime,nmbrCompleteSubs
e4cf50698ca5d8ce7df62f382013ccdb,10,9.7,19.7,1,1.35,1.35,1.58,1,0,2,1,41,10,0,10,0,8,1,0,0,10,0,0,10,0,0,36,0,0,53,0,33,20,0.12,0.18,0.18,0.21,0.12,1664,270,297.78,2.02E+11,20
f883220af8ff8a636c7e96e3c7ccdcbd,9.4,10,19.4,1,0.69,0.83,0.52,1,1,0,0,0,6,0,11,0,2,0,0,0,6,0,0,6,0,0,8,1,0,23,1,13,3,0.46,0.54,0,0,0,0,0,404,2.02E+11,3
39d6ea2bd7fdd9a4dfaa902ac589d0ec,10,9.1,19.1,1,12.8,14.01,0.96,40,26,207,94,1813,18,0,23,0,19,3,0,0,18,0,0,18,0,19,120,17,41,221,47,42,21,0.26,0.31,0.05,0.12,0.26,968.89,74.67,765.05,2.02E+11,21
bff7c9db3aedf4e7813ea1c53c394ab5,8.8,10,18.8,1,1.21,1.64,0.61,38,5,4,4,4,26,0,59,0,10,0,0,0,26,0,0,26,0,0,41,0,0,141,0,42,8,0.17,0.6,0,0,0.24,240,51.5,275.51,2.02E+11,8
aa2f79e979e0dada2c0cda7861539577,8.5,9.9,18.4,1,0.78,0.95,0.86,437,38,0,0,0,0,0,0,0,50,3,0,0,0,0,0,0,0,1,27,31,48,286,205,66,16,0.42,0.14,0.2,0.03,0.2,0,96.75,239.86,2.02E+11,16
4fd42877fcb7aee12967dcb8f9532944,8.5,9.6,18.1,1,0.8,0.83,1.03,87,0,206,19,1359,1,0,3,0,33,0,0,0,1,0,0,1,0,6,13,2,107,184,7,4,2,0.25,0,0,0,0.25,536.21,0,485.14,2.02E+11,2
05513ef2eb366f6f68416ea7d3567011,9,9,18,1,0.93,1.02,0.87,58,20,0,0,0,18,0,162,0,53,4,1,0,18,0,0,18,0,14,48,0,31,281,0,57,6,0.23,0.32,0,0.02,0.21,0,0,172.58,2.02E+11,6
05231c3e3b13bf76eaf69e6ebcc7eeca,9,9,18,1,0.87,1.35,0.65,31,6,86,24,648,13,0,122,0,50,1,1,0,13,0,0,13,0,0,66,0,0,378,0,102,15,0.55,0.36,0,0.06,0.02,216.5,100,347.52,2.02E+11,15
591e7af24cc8fbdb35e9a8328e30d014,9,9,18,1,0.67,0.88,0.64,0,0,1,0,4,6,0,43,0,3,1,1,0,6,0,0,6,0,1,11,0,5,76,0,72,11,0.36,0.4,0.03,0.03,0.18,0,88.36,81,2.02E+11,11
36bccec6318a25e3bb197f84479e47f3,10,8,18,1,0.91,1.05,0.61,14,6,25,14,223,16,0,37,0,7,0,0,0,16,0,0,16,0,1,29,0,1,61,0,18,7,0.56,0.22,0,0,0.22,112.57,0,179.07,2.02E+11,7
f75d19c9337e52a71652f7e4ec16288e,8.5,9.5,18,1,1,1.03,1.06,0,0,0,0,0,3,0,7,0,0,0,0,0,3,0,0,3,0,0,3,0,0,7,0,4,2,0,0,0,0,1,0,0,6.67,2.02E+11,2
be2554c8210cde257edcf1d0621570df,8.5,9.5,18,1,0.94,1,1,201,47,0,0,0,50,0,92,0,58,5,3,0,50,0,0,50,0,11,81,0,89,191,0,41,22,0.27,0.17,0.05,0.07,0.29,0,33.82,166.57,2.02E+11,22
6335a1cf9a643413d84937ae9ed559f3,8.9,8.9,17.8,1,0.98,1.2,1.01,18,3,0,0,0,2,0,10,0,12,2,0,0,2,0,0,2,0,0,37,0,1,117,0,88,30,0.27,0.24,0.03,0.07,0.25,0,34.53,352.65,2.02E+11,30
0724aef9d81e1bd977a0218875e93cd5,7.5,10,17.5,1,0.58,0.63,0.51,6,6,0,0,0,24,0,86,0,8,0,0,0,24,0,0,24,0,0,24,0,0,86,0,55,11,0.49,0.33,0,0,0.18,0,21.82,52.67,2.02E+11,11
6d837d004f734adecfd60777547f9f2a,8.5,9,17.5,1,1.51,1.82,1.64,0,0,0,0,0,4,0,39,0,8,1,0,0,4,0,0,4,0,0,11,0,0,73,0,62,11,0.1,0.11,0,0.34,0.44,0,16.73,16.73,2.02E+11,11
98b356d296ee9ee484643893bedcd4c0,10,7.5,17.5,1,3.5,3.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,2.02E+11,1
