student_id,prolog_score,haskell_score,TotalScore,BinaryScore,avDiffratioAlll,avDiffratioCompleted,avdiffDeadline.1,nmbrDecemberSubs,nmbrCompleteDecemberSubs,nmbrJanuarySubs,nmbrCompleteJanuarySubs,nmbrSuccessTestsJanuary,nbCompleteOnTimeSubs.1,nmbMorningSubsOnTIme,nmbDaySubsOnTIme,nmbNightSubsOnTIme,nmbrAlmostCheat.1,nmbrCheat.1,nmbrCheatOnTime.1,nmbMorningubsOnTImeCompleted,nmbDaySubsOnTImeCompleted,nmbNightSubsOnTImeCompleted,nmbMorningubsOnTImeCompleted.1,nmbDaySubsOnTImeCompleted.1,nmbNightSubsOnTImeCompleted.1,nbMorningCompleteSubs,nDayCompleteSubs,nbNightCompleteSubs,nbMorningSubs,nmbDaySubs,nmbNightSubs,nmbrOctoberSubs,nmbrCompleteOctoberSubs,avNmbrShort_05,avNmbrQuiteShort_075,avNmbrQuiteLong_15,avNmbrLong_2,avNmbrAroundSol_0.25,avStyleLengthCompltedSubsJanuary,avStyleLengthCompltedSubsOctober,avStyleLength,Avsubtime,nmbrCompleteSubs
05913c335ff55ca3cf7d163e0d733ee3,0.6,8,8.6,0,1.22,1.92,2.87,233,52,50,10,259,0,0,0,0,38,0,0,0,0,0,0,0,0,9,61,0,81,217,0,15,8,0,0,0.13,0.6,0.2,31.2,71,178.46,2.02E+11,8
09f41f27c891e95e2f70a89266040b8e,4,5,9,0,1.46,3.87,0.57,40,10,108,8,479,0,0,24,0,23,4,0,0,0,0,0,0,0,4,24,0,54,193,5,29,6,0.45,0.28,0,0,0.28,49.5,66,80.14,2.02E+11,6
98b356d296ee9ee484643893bedcd4c0,10,7.5,17.5,1,3.5,3.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,2.02E+11,1
5f9899cadae1784f319a84575822c3b1,9.7,6.5,16.2,1,0.99,1.62,1.11,73,8,213,21,1389,9,0,168,0,33,0,0,0,9,0,0,9,0,13,64,2,88,551,11,115,30,0.37,0.2,0.13,0.03,0.17,3112.38,53.07,1041.22,2.02E+11,30
248ac370e2d04212e3d4945afe2f8c30,3.8,5,8.8,0,0.97,1.22,1.37,221,57,143,33,931,1,0,119,0,127,33,3,0,1,0,0,1,0,8,101,20,35,370,104,22,9,0.05,0.14,0,0.18,0.64,118.06,17.78,184.25,2.02E+11,9
2f900d26b8fc529876313e901530f152,7.4,7.5,14.9,1,0.96,1.49,0.99,54,5,562,69,2229,4,0,48,0,114,7,0,0,4,0,0,4,0,19,95,2,71,750,33,122,23,0.43,0.28,0.01,0.11,0.14,479.42,90.78,448.41,2.02E+11,23
cc65896f2f0bf17dfeb5dba159c46bf5,7.4,7.5,14.9,1,1.1,1.88,0.68,20,11,87,5,518,4,0,8,0,24,2,0,0,4,0,0,4,0,2,35,9,16,172,50,14,6,0.07,0.86,0.07,0,0,129.6,70.67,158,2.02E+11,6
9f2ab1b4ddeb13cca7f0799d50198409,8.2,6.5,14.7,1,0.81,1.17,3.93,182,15,290,29,1530,9,0,212,0,86,2,0,0,9,0,0,9,0,0,50,15,0,466,190,9,8,0.67,0,0,0.11,0.11,297.79,15.5,303.94,2.02E+11,8
3be4c84b8900b19744af22632a15bdd1,5.4,7.5,12.9,1,2.97,1.05,1.29,27,2,2,2,9,5,0,47,0,24,1,0,0,5,0,0,5,0,0,19,0,0,137,0,15,5,0,0.13,0,0.13,0.73,10,170.4,423.58,2.02E+11,5
404ff6faf1b4b1bd551e9f420cc243b8,2.4,8.2,10.6,1,1.09,1.16,0.74,263,21,63,12,207,34,0,304,0,79,14,3,0,34,0,0,34,0,0,106,20,1,783,91,251,53,0.42,0.27,0.02,0.04,0.22,335.67,69.58,196.1,2.02E+11,53
