student_id,prolog_score,haskell_score,TotalScore,BinaryScore,avDiffratioAlll,avDiffratioCompleted,avdiffDeadline.1,nmbrDecemberSubs,nmbrCompleteDecemberSubs,nmbrJanuarySubs,nmbrCompleteJanuarySubs,nmbrSuccessTestsJanuary,nbCompleteOnTimeSubs.1,nmbDaySubsOnTIme,nmbrAlmostCheat.1,nmbrCheat.1,nmbDaySubsOnTImeCompleted,nmbDaySubsOnTImeCompleted.1,nbMorningCompleteSubs,nDayCompleteSubs,nbMorningSubs,nmbDaySubs,nmbNightSubs,nmbrOctoberSubs,nmbrCompleteOctoberSubs,avNmbrShort_05,avNmbrQuiteShort_075,avNmbrLong_2,avNmbrAroundSol_0.25,avStyleLengthCompltedSubsJanuary,avStyleLengthCompltedSubsOctober,avStyleLength,Avsubtime,nmbrCompleteSubs
2f900d26b8fc529876313e901530f152,7.4,7.5,14.9,1,0.96,1.49,0.99,54,5,562,69,2229,4,48,114,7,4,4,19,95,71,750,33,122,23,0.43,0.28,0.11,0.14,479.42,90.78,448.41,2.02E+11,23
5f9899cadae1784f319a84575822c3b1,9.7,6.5,16.2,1,0.99,1.62,1.11,73,8,213,21,1389,9,168,33,0,9,9,13,64,88,551,11,115,30,0.37,0.2,0.03,0.17,3112.38,53.07,1041.22,2.02E+11,30
db3a8fff6c6356dd670b63e69437b42e,4.4,9.5,13.9,1,0.92,1.45,0.95,0,0,840,64,3346,0,0,158,3,0,0,0,55,0,725,168,53,5,0.11,0,0.02,0.87,335.88,111.2,319.59,2.02E+11,5
795cf77eb62b95ef2d148043a088b0f3,7,6,13,1,1.05,1.89,1.17,32,14,13,4,67,5,121,41,2,5,5,12,31,25,237,0,60,15,0.28,0.45,0.02,0.15,2658,17.87,336.84,2.02E+11,15
3be4c84b8900b19744af22632a15bdd1,5.4,7.5,12.9,1,2.97,1.05,1.29,27,2,2,2,9,5,47,24,1,5,5,0,19,0,137,0,15,5,0,0.13,0.13,0.73,10,170.4,423.58,2.02E+11,5
7716025badb98c78d5fc40467b228c9b,5.1,6,11.1,1,2.1,4.38,1.15,342,89,218,50,1756,19,316,134,12,19,19,29,188,137,892,0,91,38,0.48,0.22,0.08,0.16,696.88,11.05,359.32,2.02E+11,38
6da8a54723c1ed53525116e45e35a727,6,5,11,1,1.36,7.39,33,11,1,2,0,2,6,84,27,4,6,6,0,15,2,198,0,3,3,0,0,1,0,0,88,283.2,2.02E+11,3
4e3fc20dba4fd735f33bfa6e97c52ff1,4.8,6,10.8,1,1.38,1.86,2.19,2,0,106,34,568,2,5,17,1,2,2,16,28,27,126,8,2,2,0,0,0.5,0.5,182.35,0,279,2.02E+11,2
a5aac26648196da0e8cbee9c805ef528,4.7,6,10.7,1,0.89,1.54,1.22,154,8,362,25,1241,6,181,124,10,6,6,13,50,270,539,2,91,24,0.52,0.13,0.15,0.18,575.68,64.83,326.13,2.02E+11,24
d8e25bf159951bd2deb2f13180808d9e,3.25,6.5,9.75,0,0.85,1.29,1.01,348,44,395,55,2212,5,195,120,8,5,5,6,117,69,953,105,54,10,0.19,0.35,0.06,0.17,525.09,225.6,355.29,2.02E+11,10
