student_id,TotalScore,nb_Subs,nb_CompleteSubs,av_CompleteSubs,nb_PointsAwarded,av_styleLength,av_ErrorLength,av_nmbSuccessTests,av_subLength,av_DiffRatio,nb_MockSubs,av_MockSubs,av_CompletedDiffRatio,nb_CompleteImportance3Subs,av_CompleteImportance3DiffRatio,av_MockDiffratio,nb_MockSuccessTests,nb_JanuaryImportance3SuccessTests,avdiffDeadline.1,nmbrDecemberSubs,nmbrCompleteDecemberSubs,nmbrJanuarySubs,nmbrCompleteJanuarySubs,nmbrSuccessTestsJanuary,nbCompleteOnTimeSubs.1,nmbMorningSubsOnTIme,nmbDaySubsOnTIme,nmbNightSubsOnTIme,nmbrAlmostCheat.1,nmbrCheat.1,nmbrCheatOnTime.1,nmbMorningubsOnTImeCompleted,nmbDaySubsOnTImeCompleted,nmbNightSubsOnTImeCompleted,nmbMorningubsOnTImeCompleted.1,nmbDaySubsOnTImeCompleted.1,nmbNightSubsOnTImeCompleted.1,nbMorningCompleteSubs,nDayCompleteSubs,nbNightCompleteSubs,nbMorningSubs,nmbDaySubs,nmbNightSubs,nmbrOctoberSubs,nmbrCompleteOctoberSubs,avNmbrShort_05,avNmbrQuiteShort_075,avNmbrQuiteLong_15,avNmbrLong_2,avNmbrAroundSol_0.25,avStyleLengthCompltedSubsJanuary,avStyleLengthCompltedSubsOctober,avStyleLength,Avsubtime,BinaryScore
09500d3c864a02fbf4c800f5a305259e,6.8,91,32,0.35,1386,108.88,21.19,4.68,1838.02,1.65,12,0.13,2.47,5,2.54,1.49,97,97,1.61,301,23,121,25,1226,6,0,40,4,82,4,1,0,4,2,0,4,2,1,73,8,18,536,18,62,23,0.06,0.35,0.13,0.1,0.21,1790,24,1106.68,2.02E+11,1
09500d3c864a02fbf4c800f5a305259e,6.8,91,32,0.35,1386,108.88,21.19,4.68,1838.02,1.65,12,0.13,2.47,5,2.54,1.49,97,97,1.61,301,23,121,25,1226,6,0,40,4,82,4,1,0,4,2,0,4,2,1,73,8,18,536,18,62,23,0.06,0.35,0.13,0.1,0.21,1790,24,1106.68,2.02E+11,1
2397c3522cdac891621be1ac875cc447,1.8,118,32,0.27,1320,58.95,32.14,4.42,600.37,1.09,1,0.01,1.93,1,0.4,0.4,1,1,1.1,5,3,279,46,1779,4,1,73,0,69,6,0,0,4,0,0,4,0,30,42,0,122,333,0,76,18,0.21,0.51,0,0.03,0.24,625,15,425.44,2.02E+11,0
4e3fc20dba4fd735f33bfa6e97c52ff1,4.8,81,24,0.3,240,42.91,9.28,3.74,849.04,1.96,0,0,2.64,0,0,0,0,0,2.19,2,0,106,34,568,2,0,5,0,17,1,0,0,2,0,0,2,0,16,28,0,27,126,8,2,2,0,0,0,0.5,0.5,182,0,279,2.02E+11,0
f24a9ec03468fa40bd16c3c16028d4e1,0.5,11,5,0.45,240,11.64,0,2.45,359.27,1.19,0,0,1.88,0,0,0,0,0,1.41,131,14,16,2,128,0,0,56,0,32,1,0,0,0,0,0,0,0,2,24,2,13,237,16,7,3,0,0.29,0,0.14,0.43,546,0,238.71,2.02E+11,0
731d73b073df3e4bff70b89fc2f31323,10,35,17,0.49,720,161.49,12,5.11,1177.71,1.08,1,0.03,1.32,1,0.14,0.14,1,0,1,190,44,8,5,211,50,0,149,121,64,3,1,0,22,28,0,22,28,0,63,49,0,285,176,64,30,0.08,0.25,0,0.06,0.61,970,463,645.11,2.02E+11,1
83ac5e2447cfb2b3becd5c434e08f108,7.2,259,84,0.32,1218,95.26,50.19,4.41,1545.93,1.22,31,0.12,2.14,3,0.25,0.33,166,164,2.28,275,56,284,29,2558,31,0,408,143,153,4,1,0,25,6,0,25,6,6,138,12,85,940,153,37,7,0.54,0.16,0,0.05,0.24,402,35,164.64,2.02E+11,1
d708902cfdde6b967ad225dd2fa74f34,9.2,139,41,0.29,2346,87.08,14.71,3.72,1407.28,0.84,0,0,1.74,0,0,0,0,0,1.03,182,18,90,13,567,50,78,347,15,127,2,0,13,37,0,13,37,0,15,94,0,113,541,15,97,36,0.55,0.22,0,0.08,0.15,282,39,320.51,2.02E+11,1
bf1eeefa71248ac09aef70f7bc770846,9.7,261,76,0.29,3300,109.38,44.93,4.63,2865.12,1.45,29,0.11,2.88,5,0.39,0.58,195,1,1.54,229,44,225,47,1768,28,18,286,24,132,3,1,1,19,8,1,19,8,17,143,21,95,822,90,166,39,0.37,0.2,0.02,0.08,0.32,306,62,272.2,2.02E+11,1
c83e71bf5144e9b6e60f5d8605c520e5,10,310,89,0.29,1916,88.05,30.79,3.62,2455.65,1.05,52,0.17,1.43,3,0.29,0.43,204,204,1.62,421,27,634,109,3289,9,21,305,5,160,8,1,0,9,0,0,9,0,39,129,0,245,1175,25,47,17,0.32,0.11,0.02,0.09,0.32,393,165,410.33,2.02E+11,1
a706bb348b2a0c23e35ae11e4d68fc17,2.4,266,76,0.29,988,90.2,32.78,6.12,817.52,0.99,1,0,1.7,1,0.97,0.97,16,16,0.97,34,0,366,84,1932,5,41,114,0,125,26,0,0,5,0,0,5,0,25,85,9,151,522,33,74,24,0.07,0.39,0,0.07,0.47,220,27,188.3,2.02E+11,0
a8836d86c27aaa231bac177797d12bc8,6.9,238,28,0.12,2646,125.83,42.03,3.82,570.24,0.99,6,0.03,2.14,3,0.14,0.12,3,1,1.02,199,13,39,2,235,19,20,571,24,166,9,2,2,16,1,2,16,1,2,58,3,22,1107,30,229,25,0.39,0.27,0.02,0.07,0.2,10,95,815.37,2.02E+11,1
ad737f5ea55311035d7dbf4541d9232b,6.6,181,35,0.19,3085,150.14,35.29,4.66,1878.3,1.21,5,0.03,2.32,2,0.14,0.13,14,13,1.28,109,6,88,28,702,25,28,267,26,56,5,2,4,21,0,4,21,0,20,65,1,87,494,30,143,26,0.34,0.16,0.08,0.08,0.22,697,129,819.21,2.02E+11,1
ded3953480e33642d98307db672b0c56,4.8,64,19,0.3,950,196.94,26.69,3.86,473.63,1.33,6,0.09,2.85,2,0.14,0.11,2,1,1.64,98,7,57,4,500,6,44,334,6,79,4,3,0,5,1,0,5,1,9,24,1,100,549,7,47,13,0.51,0.11,0.09,0.11,0.17,195,76,391.18,2.02E+11,0
d87fd4d5c3dd8aae2d586b9c1a033f63,10,153,32,0.21,1523,66.3,45.05,5.5,1648.89,0.93,46,0.3,1.79,4,0.27,0.31,296,296,1.06,133,31,261,33,1430,55,6,317,0,94,3,0,1,54,0,1,54,0,2,126,0,62,692,0,121,16,0.18,0.44,0,0.07,0.29,348,45,204.97,2.02E+11,1
fdd712806dab629531811ab11a4bd38a,3.9,109,22,0.2,1680,125.03,13.25,5.28,1021.5,2.34,0,0,5.79,0,0,0,0,0,2.35,144,16,1,0,0,23,27,530,0,54,5,2,1,22,0,1,22,0,3,54,0,30,805,0,108,22,0.14,0.13,0.06,0.18,0.4,0,156,2691.44,2.02E+11,0
db77a291b4546f4e11fcdf2b4246366b,4.6,139,42,0.3,1980,67.11,28.98,3.82,1399.42,1.26,24,0.17,1.98,14,1.63,1.26,44,36,1.37,505,21,218,24,901,8,35,238,0,147,9,1,0,8,0,0,8,0,6,80,0,104,951,0,100,23,0.27,0.3,0,0.16,0.23,595,11,484.28,2.02E+11,0
5f9899cadae1784f319a84575822c3b1,9.7,132,32,0.24,2280,43.97,9.88,5.03,700.12,0.98,1,0.01,1.8,1,0.14,0.14,1,1,1.11,73,8,213,21,1389,9,0,168,0,33,0,0,0,9,0,0,9,0,13,64,2,88,551,11,115,30,0.37,0.2,0.13,0.03,0.17,3112,53,1041.22,2.02E+11,1
2f900d26b8fc529876313e901530f152,7.4,262,63,0.24,683,86.64,32.14,4.21,816.92,1.21,8,0.03,1.9,2,0.75,0.48,33,33,0.99,54,5,562,69,2229,4,0,48,0,114,7,0,0,4,0,0,4,0,19,95,2,71,750,33,122,23,0.43,0.28,0.01,0.11,0.14,479,91,448.41,2.02E+11,1
db3a8fff6c6356dd670b63e69437b42e,4.4,239,43,0.18,579,234.31,56.42,5.42,919.77,1.05,0,0,1.73,0,0,0,0,0,0.95,0,0,840,64,3346,0,0,0,0,158,3,0,0,0,0,0,0,0,0,55,14,0,725,168,53,5,0.11,0,0,0.02,0.87,336,111,319.59,2.02E+11,0
795cf77eb62b95ef2d148043a088b0f3,7,94,32,0.34,1010,21.28,18.13,5.69,772.51,1.24,2,0.02,2.17,1,0.58,0.63,12,12,1.17,32,14,13,4,67,5,0,121,0,41,2,0,0,5,0,0,5,0,12,31,0,25,237,0,60,15,0.28,0.45,0,0.02,0.15,2658,18,336.84,2.02E+11,1
3be4c84b8900b19744af22632a15bdd1,5.4,16,6,0.38,600,155.25,71.25,2.94,318,1.23,1,0.06,1.25,1,0.31,0.31,1,1,1.29,27,2,2,2,9,5,0,47,0,24,1,0,0,5,0,0,5,0,0,19,0,0,137,0,15,5,0,0.13,0,0.13,0.73,10,170,423.58,2.02E+11,1
7716025badb98c78d5fc40467b228c9b,5.1,246,114,0.46,2423,71.98,31.48,4.34,1321.93,1.17,15,0.06,1.71,9,0.68,0.57,54,51,1.15,342,89,218,50,1756,19,0,316,0,134,12,2,0,19,0,0,19,0,29,188,0,137,892,0,91,38,0.48,0.22,0.02,0.08,0.16,697,11,359.32,2.02E+11,1
