student_id,TotalScore,BinaryScore,Tabel.nmbrExtraEx,Tabel.nmbrExtraTestSuccess,Tabel (2).nmbrExtraExPoints,Tabel (2).nmbrExtraTestSuccessPoints,Tabel (3).nmbrImportance3Ex,Tabel (3).nmbrImportance3ExSuccess,Tabel (4).nmbrImportance3ExPoints,Tabel (4).nmbrImportance3ExSuccessPoints,Tabel (5).nmbrImportance2Ex,Tabel (5).nmbrImportance2ExSuccess,Tabel (6).nmbrImportance2ExPoints,Tabel (6).nmbrImportance2ExPointsSuccessPoints,Tabel (7).nmbrPointsAwardedImportance3,Tabel (8).nmbrPointsAwardedImportance2,Tabel (9).nmbrPointsAwardedOnExtraEx,Tabel (10).averageEachAssignmentSubmitted,Tabel (11).nmbrSubmissionsLastWeek,Tabel (12).nmbrExtraExCompleted,Tabel (13).nmbrImportance2ExCompleted,Tabel (14).nmbrImportance3ExCompleted,Tabel (15).nmbrImportance0ExCompleted,Tabel (17).averSolSubmDiff,Tabel (18).nmbrSuccessSubmissionsLastWeek,Tabel (22).nmbrSuccesTestsLastWeek,Tabel (23).nmbrSucessTestImportance0,Tabel (24).nmbrSucesTestsImportance2,Tabel (25).nmbrSuccesTestsImportance3,Tabel (26).nmbrSubmissionsLastWeek,Tabel (27).nmbrPointsLast3Weeks,Tabel (28).nmbrPointsFirst3Weeks,Tabel (29).nmbrPoints,Tabel (30).averSolSubmDiffRatio,Tabel (31).averSolSubmImportance3DiffRatio,Tabel (32).useraverSolSubmImportance2DiffRatio,Tabel (33).useruseraverSolSubmImportance0DiffRatio,Tabel (34).nmbrCheat,Tabel (35).avTimeBeforeExam
a56f73efc6ea02b290bee5650394a874,10,1,161,1109,26,403,304,1234,46,711,102,653,13,185,3780,880,1420,21.0811,0,12,6,16,49,747.6056338,0,0,0,0,0,0,840,1740,7420,0.867777573,0.889663336,0.998497587,0.841993658,3,85201205.77
12550fb591426e0ebf627d1ddbfd0dbf,6.800000191,1,53,471,21,273,18,147,5,77,44,392,16,196,420,880,1300,7.129,0,6,5,1,24,-11.33333333,0,0,0,0,0,0,0,1500,3390,1.040551353,1.073389021,1.138627895,1.018750504,0,52221559.31
a2f132c0bc83e0438399abef26a7ad0b,6.400000095,1,32,245,14,162,87,684,10,88,23,182,11,121,478,473,789,12.1429,0,2,2,0,27,134.0689655,0,0,0,0,0,0,162,1834,3072,1.050295205,0,1.133303597,1.044146435,1,63992884.95
2a4df73484dddb6300a7d49ec110c126,2.900000095,0,34,429,16,250,35,577,15,294,19,226,10,149,2310,880,1326,4.6765,0,6,4,10,24,203.6842105,0,0,0,0,0,0,2074,1740,5570,1.030815155,1.1312187,0.96342568,0.995840034,0,89607012.23
cc2fafc44248c5753238a4bafba84e14,2.700000048,0,0,0,0,0,65,317,0,0,0,0,0,0,0,0,0,13.2727,1,0,0,1,8,82.66666667,1,0,0,0,0,0,0,686,686,0.961085249,0.903677758,0,0.968261186,0,63314674.96
ff095c82df21830b08192452e24e067d,2.5,0,0,0,0,0,117,502,8,59,0,0,0,0,177,0,0,28.4545,0,0,0,1,35,-93,0,0,0,0,0,0,252,0,252,1.011681388,1.033589251,0,1.011037039,8,62656792.81
dd4a6ebb72e5b057a51fee46587a19c9,2.900000095,0,8,24,0,0,16,78,0,0,8,24,0,0,0,0,0,13.3182,0,1,1,0,20,30.0952381,0,0,0,0,0,0,0,840,840,0.978900272,0,1.180602007,0.968815185,3,31992028.13
aad861c332ca88b09bdfba1d2449ad83,5.400000095,1,11,135,6,106,1,0,0,0,11,135,6,106,0,660,660,2.1364,0,4,4,0,21,-15.68,0,0,0,0,0,0,0,1860,2820,1.019792948,0,1.085605366,1.007257249,2,89839110.45
05231c3e3b13bf76eaf69e6ebcc7eeca,9,1,17,56,0,0,3,8,0,0,0,0,0,0,0,0,0,14.125,0,0,0,1,26,1008.148148,0,0,0,0,0,0,0,480,1320,0.740912848,0.576223776,0,0.748398715,1,50649936.51
f6d47e0c20ca9977960e3d84b2703d15,7.699999809,1,0,0,0,0,55,454,0,0,0,0,0,0,0,0,0,18.5333,0,0,0,3,20,714.6086957,0,0,0,0,0,0,0,480,1320,0.829638123,1.050543826,0,0.796502267,4,28128439.66
