student_id,HaskellScore,BinaryScore,nb_Subs,nb_completeSubs,nb_mockSubs,nb_'Extra'Subs,nb_PointsAwarded,av_styleLength,av_subLength,av_errorLength,av_nmbSuccessTests,nb_SuccessTests,av_DiffRatio,av_CompletedDiffRatio,nb_CompletedMockSubs,av_CompletedStyleLength,nb_Completed'Extra',nb_CompletedPrevYears,av_CompletedPrevYears,nb_CompletedImportance2Subs,av_StyleLengthCompletedImportance2,av_CompletedImportance2SubsDiffRatio,nb_Importance2SuccessTests,nb_Importance3SuccessTests,nb_CompletedImportance3Subs,av_StyleLengthCompletedImportance3,av_CompletedImportance3SubsDiffRatio,nb_completed'Extra'Subs,av_Completed'Extra'SubsDiffRatio,nb_'Extra'SuccessTests,nb_MockSuccessTests,nb_PointsFirst2WeeksHaskell,nb_PointsLast2WeeksHaskell,avdiffDeadline.1,nmbrDecemberSubs,nmbrCompleteDecemberSubs,nmbrJanuarySubs,nmbrCompleteJanuarySubs,nmbrSuccessTestsJanuary,nbCompleteOnTimeSubs.1,nmbMorningSubsOnTIme,nmbDaySubsOnTIme,nmbNightSubsOnTIme,nmbrAlmostCheat.1,nmbrCheat.1,nmbrCheatOnTime.1,nmbMorningubsOnTImeCompleted,nmbDaySubsOnTImeCompleted,nmbNightSubsOnTImeCompleted,nmbMorningubsOnTImeCompleted.1,nmbDaySubsOnTImeCompleted.1,nmbNightSubsOnTImeCompleted.1,nbMorningCompleteSubs,nDayCompleteSubs,nbNightCompleteSubs,nbMorningSubs,nmbDaySubs,nmbNightSubs,nmbrOctoberSubs,nmbrCompleteOctoberSubs,avNmbrShort_05,avNmbrQuiteShort_075,avNmbrQuiteLong_15,avNmbrLong_2,avNmbrAroundSol_0.25,avStyleLengthCompltedSubsJanuary,avStyleLengthCompltedSubsOctober,avStyleLength,Avsubtime
4e3fc20dba4fd735f33bfa6e97c52ff1,6,1,80,20,3,0,360,600.05,1144.5,69.1,8.75,700,0.8,0.93,0,587.6,0,1,0.05,0,0,0,0,3,0,0,0,0,0,0,3,0,0,2.19,2,0,106,34,568,2,0,5,0,17,1,0,0,2,0,0,2,0,16,28,0,27,126,8,2,2,0,0,0,0.5,0.5,182,0,279,2.02E+11
fe9ac78ed1b7ef1c0221dc88f0a1dd7d,2,0,10,0,1,0,0,562.8,1446,505.6,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,12,3,3,9,0,0,0,0,8,4,0,0,0,0,0,0,0,1,6,8,1,25,16,0,0,0,0,0,0,0,0,0,8.53,0
927a91d8eac9ff89da1c9a720aebb232,10,1,448,38,84,103,3420,632.4,3345.91,372.17,4.58,2052,0.99,1.13,5,495.79,8,0,0,6,144.67,1.15,489,447,5,1472.8,1.02,8,1.77,491,447,1540,0,0,111,3,85,5,447,27,0,288,36,105,1,0,0,23,4,0,23,4,0,35,4,66,350,36,0,0,0,0,0,0,0,1473,0,483.08,0
a5d6c046ce258b28b4b5978672158fbe,9.5,1,782,30,122,193,3085,922.96,2512.62,463.88,4.4,3437,3.93,1.1,3,1016.8,9,3,0.1,8,842.5,1.16,562,1017,3,4721.33,0.93,9,1.31,563,1017,0,0,0,190,24,212,26,1001,16,37,301,28,106,2,0,0,12,4,0,12,4,13,57,4,165,727,28,0,0,0,0,0,0,0,697,0,574.32,0
f24a9ec03468fa40bd16c3c16028d4e1,3.5,0,255,17,94,5,514,464.67,1564.63,210.07,4.37,1114,1.96,0.95,1,348.47,1,2,0.12,1,216,0.98,55,193,1,1092,1.02,1,0.98,55,193,0,0,1.41,131,14,16,2,128,0,0,56,0,32,1,0,0,0,0,0,0,0,2,24,2,13,237,16,7,3,0,0.29,0,0.14,0.43,546,0,238.71,2.02E+11
f31e5ee66cad0ad7756c9baff0d219c6,10,1,581,32,79,133,2167,328.99,1346.99,358.76,4.9,2848,0.81,0.9,0,205.12,7,0,0,7,140,0.88,656,101,0,0,0,7,0.88,656,101,0,0,0,56,1,279,36,1496,6,67,137,0,105,3,0,2,4,0,2,4,0,14,45,0,170,536,0,0,0,0,0,0,0,0,104,0,152.34,0
8fbf8cca40dcf9e0a345e9398f8dbae5,7.5,1,639,31,278,0,908,774.08,2921.15,408.21,4.09,2611,0.81,0.99,5,417.03,0,5,0.16,0,0,0,0,1276,5,764,0.73,0,0,0,1276,0,0,0,0,0,503,33,2086,6,0,110,0,127,8,3,0,6,0,0,6,0,1,44,1,48,654,6,0,0,0,0,0,0,0,227,0,302.52,0
aff8a01f2d11c8dfb0e904d45be863eb,6,1,675,22,317,47,1041,535.8,2743.31,475.47,2.66,1796,0.8,0.92,3,384,0,3,0.14,0,0,0,225,641,3,1252,0.93,0,0,225,641,0,0,0,175,10,451,16,875,5,0,116,0,94,4,1,0,5,0,0,5,0,1,38,0,104,639,58,0,0,0,0,0,0,0,426,0,268,0
0a5b094d93c01d46bae98ab0f00b83e0,6.5,1,595,14,112,132,590,502.16,1586.72,510.14,2.91,1731,0.74,0.91,0,608,3,1,0.07,3,1040,0.96,282,103,0,0,0,3,0.96,282,103,0,58,0,231,4,98,18,402,3,81,190,0,122,2,0,1,2,0,1,2,0,12,28,0,183,548,0,0,0,0,0,0,0,0,51,0,239.8,0
a4801f22b835fef9a3f5f36204a8a135,6,1,19,17,0,3,0,242.74,1077.47,13.26,18.89,359,0.94,0.94,0,245.65,3,0,0,3,350.67,0.99,71,0,0,0,0,3,0.99,71,0,0,0,0,0,0,19,17,359,0,0,0,0,5,2,0,0,0,0,0,0,0,6,11,0,6,13,0,0,0,0,0,0,0,0,246,0,245.65,0
