student_id;;nmbrImportance3Ex;nmbrImportance0Ex;nmbrImportance3ExSuccess;nmbrImportance0ExSuccess;nmbrImportance0ExPointsAwarded;nmbrImportance3ExPointsAwarded;nmbrExPoints;nmbrImportance0ExPoints;nmbrImportance3ExPoints;nmbrImportance0ExSuccess,1;nmbrImportance3ExSuccess,1;nmbrSuccessTests;averageEachAssignmentSubmitted;averageEachAssignmentSubmittedSuccess;averSolSubmDiffAll;averSolSubmDiff;averSolSubmDiffRatioAll;averSolSubmDiffRatio;averSolSubmImportance3DiffRatio;nmbrCheat;nmbrAlmostCheat;nmbrShort_05;nmbrQuiteShort_075;nmbrQuiteLong_15;nmbrLong_2;avNmbrShort_05;avNmbrQuiteShort_075;avNmbrQuiteLong_15;avNmbrLong_2;nmbrSubmissionsLastWeek;nmbrSuccessTestsLastWeek;nmbrSuccessSubmissionsLastWeek;nmbrBlokSuccessSubmissions;avBlokSubmSolRatio;avFirstMonthCompletedSubSubmSolRatio;avDiffRatioBlokFirstMonth;nmbrPointsFirst3Weeks;bmbrPointsLast3Weeks;prolog_score;binary_score;nmbrSuccessTestsLastWeek2;delen
a56f73efc6ea02b290bee5650394a874;;15;80;11;40;1680;840;30;26;4;112;77;430;4.75;2.68;1179;479;0.91;1.17;0.62;0;3;15;21;9;9;0.29;0.41;0.18;0.18;0;0;0;8;0.56;1.28;-0.73;1560;1200;10.00;1;0;1000
047477f4513b822bf8ea2e90e3ae6c23;;16;176;5;87;530;420;16;12;4;58;56;711;10.11;5.11;1088;440;0.81;1.03;0.96;1;16;12;38;12;10;0.13;0.41;0.13;0.11;0;0;0;65;0.97;1.18;-0.21;410;420;6.00;1;0;1000
12550fb591426e0ebf627d1ddbfd0dbf;;13;74;4;25;1560;840;32;23;9;102;154;385;4.58;1.53;225;-532;0.94;1.16;2.12;0;2;6;10;6;3;0.21;0.34;0.21;0.10;0;0;0;6;0.99;1.20;-0.22;1440;1200;7.50;1;0;1000
05231c3e3b13bf76eaf69e6ebcc7eeca;;2;150;2;37;934;0;25;25;0;92;0;518;10.13;3.25;658;662;0.72;0.88;0.43;1;3;18;26;5;2;0.46;0.67;0.13;0.05;0;0;0;21;0.81;0.97;-0.15;1200;28;9.00;1;0;1000
c61aa89c6acf0f0f03a807c9c360de1d;;62;87;11;19;1109;420;32;23;9;103;124;860;7.45;1.67;714;-428;0.82;1.14;1.44;1;5;6;11;10;4;0.20;0.37;0.33;0.13;0;0;0;10;1.43;0.96;0.47;840;743;8.75;1;0;1000
f5f9f366fb533b8cd5f7f4f4284bf33b;;13;52;2;17;1320;300;29;23;6;106;74;316;4.06;1.36;1264;447;0.71;0.91;1.13;0;0;6;10;3;2;0.32;0.53;0.16;0.11;0;0;0;4;1.15;0.84;0.30;720;660;7.00;1;0;1000
0aa9884c48b8b10ab9e15b20d8bae760;;41;218;12;59;0;420;1;0;1;0;24;1042;12.33;3.38;1273;916;0.65;0.73;0.79;0;9;30;42;3;2;0.42;0.59;0.04;0.03;0;0;0;60;0.72;0.79;-0.08;0;420;5.50;1;0;1000
9196c77374a9fba5b2dfd78bf6363dc8;;8;77;0;27;530;100;19;18;1;61;6;294;5.31;1.80;1010;363;0.73;0.95;0.00;3;11;8;12;2;2;0.30;0.44;0.07;0.07;0;0;0;11;1.01;0.92;0.09;530;100;2.00;0;0;1000
0d6760b38e52aa80c85686d5e8d3ce01;;33;97;1;17;1316;266;28;20;8;100;82;561;7.22;1.38;1780;152;0.60;1.55;0.55;0;0;5;10;3;2;0.28;0.56;0.17;0.11;0;0;0;4;0.46;1.87;-1.40;923;436;5.50;1;0;1000
ff095c82df21830b08192452e24e067d;;24;170;0;25;265;0;10;10;0;29;0;655;12.93;2.08;1005;570;0.65;0.80;0.00;2;4;7;18;1;1;0.28;0.72;0.04;0.04;0;0;0;6;0.55;0.95;-0.40;559;0;4.00;0;0;1000
