student_id;haskell_score;nb_Subs;nb_completeSubs;nb_mockSubs;nb_'Extra'Subs;nb_PointsAwarded;av_styleLength;av_subLength;av_errorLength;av_nmbSuccessTests;nb_SuccessTests;av_DiffRatio;av_CompletedDiffRatio;nb_CompletedMockSubs;av_CompletedStyleLength;nb_Completed'Extra';nb_CompletedPrevYears;av_CompletedPrevYears;nb_CompletedImportance2Subs;av_StyleLengthCompletedImportance2;av_CompletedImportance2SubsDiffRatio;nb_Importance2SuccessTests;nb_Importance3SuccessTests;nb_CompletedImportance3Subs;av_StyleLengthCompletedImportance3;av_CompletedImportance3SubsDiffRatio;nb_completed'Extra'Subs;av_Completed'Extra'SubsDiffRatio;nb_'Extra'SuccessTests;nb_MockSuccessTests;nb_PointsFirst2WeeksHaskell;nb_PointsLast2WeeksHaskell;avdiffDeadline1;nmbrDecemberSubs;nmbrCompleteDecemberSubs;nmbrJanuarySubs;nmbrCompleteJanuarySubs;nmbrSuccessTestsJanuary;nbCompleteOnTimeSubs1;nmbMorningSubsOnTIme;nmbDaySubsOnTIme;nmbNightSubsOnTIme;nmbrAlmostCheat1;nmbrCheat1;nmbrCheatOnTime1;nmbMorningubsOnTImeCompleted;nmbDaySubsOnTImeCompleted;nmbNightSubsOnTImeCompleted;nmbMorningubsOnTImeCompleted1;nmbDaySubsOnTImeCompleted1;nmbNightSubsOnTImeCompleted1;nbMorningCompleteSubs;nDayCompleteSubs;nmbDaySubs;nmbNightSubs;nmbrOctoberSubs;nmbrCompleteOctoberSubs;avNmbrShort_05;avNmbrQuiteShort_075;avNmbrQuiteLong_15;avNmbrLong_2;avNmbrAroundSol_025;avStyleLengthCompltedSubsJanuary;avStyleLengthCompltedSubsOctober;avStyleLength;succes
48984c31a9f9e91872e3e6431c0c3160;1.00;90.00;11.00;1.00;44.00;1320.00;350.13;994.58;409.29;6.78;610.00;1.53;0.85;0.00;298.91;6.00;0.00;0.00;6.00;328.67;0.82;356.00;0.00;0.00;0.00;0.00;6.00;0.82;356.00;0.00;1052.00;0.00;0.00;3.00;0.00;0.00;0.00;0.00;5.00;0.00;53.00;0.00;8.00;0.00;0.00;0.00;5.00;0.00;0.00;5.00;0.00;0.00;11.00;90.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;298.91;0.00
bbbb5a70054301d267726b1b3d704672;8.00;3.00;0.00;0.00;0.00;0.00;305.33;840.00;33.33;0.00;0.00;0.53;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00
f677b78626387ac6599df2fa1ec6702b;8.00;102.00;12.00;1.00;4.00;1380.00;269.29;1096.86;212.31;8.25;842.00;0.88;0.97;0.00;976.00;3.00;0.00;0.00;3.00;3574.67;0.88;33.00;0.00;0.00;0.00;0.00;3.00;0.88;33.00;0.00;220.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;8.00;0.00;36.00;0.00;31.00;7.00;5.00;0.00;8.00;0.00;0.00;8.00;0.00;0.00;26.00;125.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;462.15;1.00
d30847a4f005d224efb170e80ac4c764;0.00;9.00;0.00;0.00;0.00;0.00;161.33;372.00;68.00;0.33;3.00;5.82;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.00;0.00;0.00;0.00;0.00;0.00;0.00;14.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;17.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
48984c31a9f9e91872e3e6431c0c3160;1.00;90.00;11.00;1.00;44.00;1320.00;350.13;994.58;409.29;6.78;610.00;1.53;0.85;0.00;298.91;6.00;0.00;0.00;6.00;328.67;0.82;356.00;0.00;0.00;0.00;0.00;6.00;0.82;356.00;0.00;1052.00;0.00;0.00;3.00;0.00;0.00;0.00;0.00;5.00;0.00;53.00;0.00;8.00;0.00;0.00;0.00;5.00;0.00;0.00;5.00;0.00;0.00;11.00;90.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;298.91;0.00
5e91e3f83c88f2cf01c3e941799968b2;0.00;28.00;0.00;0.00;0.00;78.00;542.71;868.57;230.29;5.57;156.00;0.82;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;28.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
d596d40c76253070dc95840ec76d9760;10.00;187.00;19.00;37.00;12.00;3109.00;1524.24;2986.35;612.81;4.02;752.00;0.91;1.02;0.00;1787.16;4.00;0.00;0.00;3.00;2682.67;0.93;55.00;186.00;0.00;0.00;0.00;4.00;1.33;56.00;186.00;1540.00;258.00;0.00;85.00;2.00;0.00;0.00;0.00;17.00;2.00;117.00;61.00;28.00;0.00;0.00;2.00;10.00;5.00;2.00;10.00;5.00;2.00;12.00;123.00;62.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1787.16;1.00
e9037025566b9409cf4b40ed5b5cc2d8;3.50;597.00;27.00;114.00;53.00;2293.00;534.41;2083.38;246.32;4.60;2747.00;1.27;1.08;1.00;358.52;2.00;2.00;0.07;2.00;302.00;0.78;233.00;493.00;1.00;1892.00;1.34;2.00;0.78;233.00;493.00;0.00;188.00;1.44;179.00;8.00;0.00;0.00;0.00;14.00;1.00;366.00;3.00;122.00;2.00;1.00;0.00;13.00;1.00;0.00;13.00;1.00;5.00;51.00;597.00;54.00;64.00;26.00;0.34;0.19;0.02;0.12;0.28;0.00;0.00;168.28;0.00
3cedcab61f5e816f61a9c5414b7aaf60;5.50;1.00;0.00;1.00;0.00;0.00;1092.00;2308.00;244.00;0.00;0.00;0.55;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00
d094ec6681dc5c0873e4f3432a12f92c;1.00;1.00;0.00;0.00;0.00;0.00;20.00;900.00;0.00;0.00;0.00;0.75;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5ff277444b3587ca5cf94505b9aa1779;1.50;2.00;0.00;2.00;0.00;0.00;780.00;3620.00;0.00;0.00;0.00;0.43;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
fbc9757872c4326a9eb23c1d4f6ca8d3;3.00;3.00;0.00;1.00;0.00;0.00;85.33;2477.33;142.67;0.00;0.00;0.66;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;0.00;0.00;0.00;1.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;2.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5ff277444b3587ca5cf94505b9aa1779;1.50;2.00;0.00;2.00;0.00;0.00;780.00;3620.00;0.00;0.00;0.00;0.43;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
