student_id;prolog_score;nb_Subs;nb_CompleteSubs;av_CompleteSubs;nb_PointsAwarded;av_styleLength;av_ErrorLength;av_nmbSuccessTests;av_subLength;av_DiffRatio;nb_MockSubs;av_MockSubs;av_CompletedDiffRatio;nb_CompleteImportance3Subs;av_CompleteImportance3DiffRatio;av_MockDiffratio;nb_MockSuccessTests;nb_JanuaryImportance3SuccessTests;avdiffDeadline.1;nmbrDecemberSubs;nmbrCompleteDecemberSubs;nmbrJanuarySubs;nmbrCompleteJanuarySubs;nmbrSuccessTestsJanuary;nbCompleteOnTimeSubs.1;nmbMorningSubsOnTIme;nmbDaySubsOnTIme;nmbNightSubsOnTIme;nmbrAlmostCheat.1;nmbrCheat.1;nmbrCheatOnTime.1;nmbMorningubsOnTImeCompleted;nmbDaySubsOnTImeCompleted;nmbNightSubsOnTImeCompleted;nmbMorningubsOnTImeCompleted.1;nmbDaySubsOnTImeCompleted.1;nmbNightSubsOnTImeCompleted.1;nbMorningCompleteSubs;nDayCompleteSubs;nbNightCompleteSubs;nbMorningSubs;nmbDaySubs;nmbNightSubs;nmbrOctoberSubs;nmbrCompleteOctoberSubs;avNmbrShort_05;avNmbrQuiteShort_075;avNmbrQuiteLong_15;avNmbrLong_2;avNmbrAroundSol_0.25;avStyleLengthCompltedSubsJanuary;avStyleLengthCompltedSubsOctober;avStyleLength;binary_score;PointsFirst2WeeksProlog;nb_PointsLast2WeeksProlog
2eafd3daf68a9812ca2eee151570cc3c;91;1;1;1;0;0;0;1;124;31;0;0;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
2eafd3daf68a9812ca2eee151570cc3c;91;1;1;1;0;0;0;1;124;31;0;0;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
3be4c84b8900b19744af22632a15bdd1;54;16;6;38;600;15525;7125;294;318;123;1;6;125;1;31;31;1;1;129;27;2;2;2;9;5;0;47;0;24;1;0;0;5;0;0;5;0;0;19;0;0;137;0;15;5;0;13;0;13;73;10;170;42358;1;600;50
f677b78626387ac6599df2fa1ec6702b;18;23;14;61;0;1948;609;474;4447;133;0;0;149;0;0;0;0;0;0;1;0;0;0;0;8;0;36;0;31;7;5;0;8;0;0;8;0;0;26;0;0;125;0;0;0;0;0;0;0;0;0;0;46215;0;0;0
5f9899cadae1784f319a84575822c3b1;97;132;32;24;2280;4397;988;503;70012;98;1;1;18;1;14;14;1;1;111;73;8;213;21;1389;9;0;168;0;33;0;0;0;9;0;0;9;0;13;64;2;88;551;11;115;30;37;2;13;3;17;3112;53;104122;1;1200;10
03d5c1b625858c49e1d85b1cd24ff391;48;174;36;21;1289;11129;2572;496;72239;97;0;0;202;0;0;0;0;0;72;25;0;185;39;967;3;7;23;0;69;3;0;1;2;0;1;2;0;2;54;1;20;310;18;108;15;47;6;0;2;42;259;9;20182;0;809;0
743204d853e215a7a5c4778fd1dc1c6b;64;53;28;53;1440;13208;1932;426;59328;78;1;2;98;1;14;14;1;1;112;49;13;9;5;6;7;11;26;0;11;1;0;3;4;0;3;4;0;18;37;0;36;132;0;29;15;28;38;0;14;17;8;160;3152;1;1043;10
b364df2e2ec0a593973273e768817c63;16;6;2;33;328;0;0;4;31333;138;0;0;223;0;0;0;0;0;138;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;6;0;6;2;0;0;0;17;83;0;0;0;0;328;0
05913c335ff55ca3cf7d163e0d733ee3;6;67;26;39;840;172;872;396;57922;181;0;0;247;0;0;0;0;0;287;233;52;50;10;259;0;0;0;0;38;0;0;0;0;0;0;0;0;9;61;0;81;217;0;15;8;0;0;13;6;2;31;71;17846;0;840;0
7e722aa48ef9571d48cfa734e6a71fb0;10;42;13;31;0;6581;3657;345;174343;69;1;2;93;1;61;61;16;16;229;93;1;190;17;714;11;4;89;0;47;2;0;0;11;0;0;11;0;1;40;0;5;370;0;2;2;0;0;0;5;5;367;0;36049;1;0;10
e9037025566b9409cf4b40ed5b5cc2d8;48;65;27;42;951;1988;862;645;65477;143;0;0;246;0;0;0;0;0;144;179;8;0;0;0;14;1;366;3;122;2;1;0;13;1;0;13;1;5;51;2;11;597;54;64;26;34;19;2;12;28;0;0;16828;0;120;0
83ac5e2447cfb2b3becd5c434e08f108;72;259;84;32;1218;9526;5019;441;154593;122;31;12;214;3;25;33;166;164;228;275;56;284;29;2558;31;0;408;143;153;4;1;0;25;6;0;25;6;6;138;12;85;940;153;37;7;54;16;0;5;24;402;35;16464;1;170;420
09500d3c864a02fbf4c800f5a305259e;68;91;32;35;1386;10888;2119;468;183802;165;12;13;247;5;254;149;97;97;161;301;23;121;25;1226;6;0;40;4;82;4;1;0;4;2;0;4;2;1;73;8;18;536;18;62;23;6;35;13;1;21;1790;24;110668;1;906;0
09500d3c864a02fbf4c800f5a305259e;68;91;32;35;1386;10888;2119;468;183802;165;12;13;247;5;254;149;97;97;161;301;23;121;25;1226;6;0;40;4;82;4;1;0;4;2;0;4;2;1;73;8;18;536;18;62;23;6;35;13;1;21;1790;24;110668;1;906;0
927a91d8eac9ff89da1c9a720aebb232;94;4;1;25;0;36;35;175;348;102;0;0;105;0;0;0;0;0;0;111;3;85;5;447;27;0;288;36;105;1;0;0;23;4;0;23;4;0;35;4;66;350;36;0;0;0;0;0;0;0;1473;0;48308;1;0;120
9f2ab1b4ddeb13cca7f0799d50198409;82;80;29;36;600;1833;398;325;362895;93;12;15;158;12;47;47;12;12;393;182;15;290;29;1530;9;0;212;0;86;2;0;0;9;0;0;9;0;0;50;15;0;466;190;9;8;67;0;0;11;11;298;16;30394;1;0;120
68e63245352dd7603f992d19d03583e0;88;123;36;29;0;319;927;642;11014;112;6;5;21;0;0;37;36;0;0;148;13;48;10;142;2;0;48;0;83;12;0;0;2;0;0;2;0;10;43;1;111;304;4;0;0;0;0;0;0;0;0;0;20111;1;0;0
a2a7730c94d2af5c7caee2d703c27a70;9;9;0;0;0;0;0;167;474133;1053;0;0;0;0;0;0;0;0;71;55;18;29;4;289;26;0;61;6;30;1;1;0;24;2;0;24;2;7;53;2;8;149;6;2;0;0;1;0;0;0;1143;0;4971;1;0;90
09f41f27c891e95e2f70a89266040b8e;4;80;18;23;825;7035;885;558;5389;129;0;0;291;0;0;0;0;0;57;40;10;108;8;479;0;0;24;0;23;4;0;0;0;0;0;0;0;4;24;0;54;193;5;29;6;45;28;0;0;28;50;66;8014;0;192;0
a5d6c046ce258b28b4b5978672158fbe;84;138;30;22;0;16739;3197;496;65099;132;0;0;219;0;0;0;0;0;0;190;24;212;26;1001;16;37;301;28;106;2;0;0;12;4;0;12;4;13;57;4;165;727;28;0;0;0;0;0;0;0;697;0;57432;1;0;40
60eba4146d12b6996272184a29de5aba;64;19;1;5;0;5411;3137;305;108463;36;1;5;45;1;45;45;1;1;0;0;0;64;1;102;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;68;0;0;0;0;0;0;0;0;0;0;0;1;0;0
a8836d86c27aaa231bac177797d12bc8;69;238;28;12;2646;12583;4203;382;57024;99;6;3;214;3;14;12;3;1;102;199;13;39;2;235;19;20;571;24;166;9;2;2;16;1;2;16;1;2;58;3;22;1107;30;229;25;39;27;2;7;2;10;95;81537;1;1386;460
0daf7c04c92e88653ac9cd428834cdc0;34;104;20;19;1310;7935;1077;504;61535;83;2;2;24;1;39;25;1;0;139;249;6;143;14;610;15;55;318;18;102;5;2;3;10;2;3;10;2;16;34;2;152;584;25;62;13;16;23;5;5;47;474;176;40208;0;240;0
a9d7388434829139e25b7b795466db39;25;142;15;11;1556;12532;1949;446;56701;136;1;1;351;1;14;14;1;1;138;253;7;173;5;1076;23;0;401;143;113;1;1;0;15;8;0;15;8;0;34;11;4;685;256;139;12;22;29;8;18;19;104;0;17307;0;631;10
df97c4fe76331ef82c0d1cd0a27b7f3d;18;1;1;1;0;0;0;1;124;31;0;0;31;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
b6dfac6091dcdd25280b49c691bd222a;86;262;62;24;2679;9889;4463;408;199024;88;23;9;121;3;22;25;102;101;91;287;27;310;55;1946;11;25;176;0;119;5;0;1;10;0;1;10;0;9;128;0;144;911;0;139;28;4;21;1;3;35;895;100;6252;1;1026;30
224345904f96599a97d392ba0d35f8ae;3;91;16;18;0;13429;1846;379;59341;15;4;4;238;2;26;18;2;2;0;107;14;9;3;49;8;2;77;0;22;0;0;0;8;0;0;8;0;5;23;2;46;249;20;0;0;0;0;0;0;0;0;0;852;0;0;0
bf1eeefa71248ac09aef70f7bc770846;97;261;76;29;3300;10938;4493;463;286512;145;29;11;288;5;39;58;195;1;154;229;44;225;47;1768;28;18;286;24;132;3;1;1;19;8;1;19;8;17;143;21;95;822;90;166;39;37;2;2;8;32;306;62;2722;1;1680;560
fe9ac78ed1b7ef1c0221dc88f0a1dd7d;0;29;15;52;0;5448;1572;293;51724;171;0;0;212;0;0;0;0;0;0;39;12;3;3;9;0;0;0;0;8;4;0;0;0;0;0;0;0;1;6;8;1;25;16;0;0;0;0;0;0;0;0;0;853;0;0;0
d708902cfdde6b967ad225dd2fa74f34;92;139;41;29;2346;8708;1471;372;140728;84;0;0;174;0;0;0;0;0;103;182;18;90;13;567;50;78;347;15;127;2;0;13;37;0;13;37;0;15;94;0;113;541;15;97;36;55;22;0;8;15;282;39;32051;1;1440;180
2397c3522cdac891621be1ac875cc447;18;118;32;27;1320;5895;3214;442;60037;109;1;1;193;1;4;4;1;1;11;5;3;279;46;1779;4;1;73;0;69;6;0;0;4;0;0;4;0;30;42;0;122;333;0;76;18;21;51;0;3;24;625;15;42544;0;840;0
d87fd4d5c3dd8aae2d586b9c1a033f63;10;153;32;21;1523;663;4505;55;164889;93;46;3;179;4;27;31;296;296;106;133;31;261;33;1430;55;6;317;0;94;3;0;1;54;0;1;54;0;2;126;0;62;692;0;121;16;18;44;0;7;29;348;45;20497;1;683;90
8c89d9019f5bcc51207f9ea112711225;0;2;1;5;0;0;0;25;336;99;0;0;1;0;0;0;0;0;0;0;0;7;1;5;0;0;0;0;4;1;0;0;0;0;0;0;0;0;1;0;0;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0
263bb00b9ef59bb5c0c4514f3e2e6296;32;76;23;3;1080;9858;6105;486;75926;127;1;1;277;1;18;18;1;0;7;0;0;125;31;619;5;0;49;0;48;8;0;0;5;0;0;5;0;26;29;0;73;207;0;66;13;14;67;0;2;12;534;20;35651;0;600;0
e4652fbe5b3f9d83da883c17898f7733;78;142;44;31;420;12152;4769;434;94994;112;1;1;2;1;14;14;1;0;0;32;2;256;77;1688;1;0;15;16;36;8;0;0;0;1;0;0;1;25;50;4;91;163;34;0;0;0;0;0;0;0;317;0;34162;1;0;60
e3462ef73c1f1953f085498c9d6b8ed5;9;3;3;1;240;0;0;1;16667;2068;0;0;2068;0;0;0;0;0;2068;439;49;55;10;375;20;0;359;76;65;1;0;0;16;4;0;16;4;0;59;19;0;691;136;3;3;33;0;0;67;0;825;0;71723;1;0;0
2f900d26b8fc529876313e901530f152;74;262;63;24;683;8664;3214;421;81692;121;8;3;19;2;75;48;33;33;99;54;5;562;69;2229;4;0;48;0;114;7;0;0;4;0;0;4;0;19;95;2;71;750;33;122;23;43;28;1;11;14;479;91;44841;1;323;0
3beb4b55aa7ad8df7d3150fea0f075fe;59;15;10;67;0;12693;768;273;187733;38;13;87;34;8;42;44;39;39;47;312;7;253;18;947;5;0;295;82;109;1;1;0;1;4;0;1;4;0;27;6;107;716;101;1;0;1;0;0;0;0;2048;0;119115;1;0;0
0ef10f55e2de7b6b2c7a9bbceca1b52e;7;229;31;14;120;21406;15338;368;225048;61;92;4;78;18;79;74;451;142;5;981;65;218;28;1000;14;55;111;0;271;12;0;1;13;0;1;13;0;54;60;0;541;1053;0;7;2;14;86;0;0;0;705;0;73818;1;0;240
0f67c00699dd56b72388f9b7096c9273;3;24;3;13;164;24917;3417;271;2235;7;10;42;69;1;14;53;39;1;59;241;4;220;4;264;4;0;147;38;56;2;1;0;4;0;0;4;0;5;15;0;99;545;49;12;0;42;42;0;0;17;2131;0;10542;0;0;328
