student_id,TotalScore,BinaryScore,nb_Subs,nb_completeSubs,nb_mockSubs,nb_'Extra'Subs,nb_PointsAwarded,av_styleLength,av_subLength,av_errorLength,av_nmbSuccessTests,nb_SuccessTests,av_DiffRatio,av_CompletedDiffRatio,nb_CompletedMockSubs,av_CompletedStyleLength,nb_Completed'Extra',nb_CompletedPrevYears,av_CompletedPrevYears,nb_CompletedImportance2Subs,av_StyleLengthCompletedImportance2,av_CompletedImportance2SubsDiffRatio,nb_Importance2SuccessTests,nb_Importance3SuccessTests,nb_CompletedImportance3Subs,av_StyleLengthCompletedImportance3,av_CompletedImportance3SubsDiffRatio,nb_completed'Extra'Subs,av_Completed'Extra'SubsDiffRatio,nb_'Extra'SuccessTests,nb_MockSuccessTests,nb_PointsFirst2WeeksHaskell,nb_PointsLast2WeeksHaskell,avdiffDeadline.1,nmbrDecemberSubs,nmbrCompleteDecemberSubs,nmbrJanuarySubs,nmbrCompleteJanuarySubs,nmbrSuccessTestsJanuary,nbCompleteOnTimeSubs.1,nmbMorningSubsOnTIme,nmbDaySubsOnTIme,nmbNightSubsOnTIme,nmbrAlmostCheat.1,nmbrCheat.1,nmbrCheatOnTime.1,nmbMorningubsOnTImeCompleted,nmbDaySubsOnTImeCompleted,nmbNightSubsOnTImeCompleted,nmbMorningubsOnTImeCompleted.1,nmbDaySubsOnTImeCompleted.1,nmbNightSubsOnTImeCompleted.1,nbMorningCompleteSubs,nDayCompleteSubs,nbNightCompleteSubs,nbMorningSubs,nmbDaySubs,nmbNightSubs,nmbrOctoberSubs,nmbrCompleteOctoberSubs,avNmbrShort_05,avNmbrQuiteShort_075,avNmbrQuiteLong_15,avNmbrLong_2,avNmbrAroundSol_0.25,avStyleLengthCompltedSubsJanuary,avStyleLengthCompltedSubsOctober,avStyleLength,Avsubtime
a56f73efc6ea02b290bee5650394a874,10,1,780,66,303,161,7420,417.84,3579.12,988.01,5.26,4103,0.74,0.87,15,437.45,12,9,0.14,6,278,1,653,1234,16,570.25,0.89,12,0.87,1109,1210,3480,0,0.89,197,18,11,9,8,59,198,302,0,128,3,1,27,32,0,27,32,0,40,87,0,357,523,0,72,37,0.47,0.18,0,0.14,0.1,115,5,237.35,2.02E+11
3931eae4cdc0412af1a5f55122c10d61,9.6,1,618,105,64,171,11028,612.14,2658.98,424.22,8.66,5354,1.26,1.01,19,614.59,16,10,0.1,15,355.47,1.02,1007,815,19,1515.79,1.12,16,1.04,1342,683,3080,82,1.22,166,36,24,18,218,58,52,240,30,110,6,4,10,40,8,10,40,8,19,116,18,71,516,117,56,20,0.41,0.16,0,0.04,0.39,92,47,431.92,2.02E+11
6b6d7ccb2d17389de91cd8135aaacb5a,1.9,0,988,80,40,156,840,592.65,1841.79,355.62,6.8,6716,0.87,0.95,3,664.4,9,0,0,9,1000,0.99,739,463,3,2044,0.67,9,0.98,1048,169,1680,0,0.73,280,17,789,82,4423,1,0,2,0,243,34,0,0,1,0,0,1,0,26,101,3,315,998,31,100,9,0.33,0.21,0.02,0.03,0.41,503,311,476.43,2.02E+11
7778d80908ace05501a05067b903b7e2,6,1,1051,26,253,88,1903,953.88,2459.06,759.63,3.52,3699,0.92,1.16,2,1128.92,2,1,0.04,2,2918,1.6,245,609,2,2434,1.25,2,1.6,364,609,1680,0,0.53,412,14,386,19,1762,7,0,189,7,211,18,0,0,6,1,0,6,1,1,60,3,45,1154,68,39,12,0.62,0.15,0,0,0.18,640,31,503.94,2.02E+11
a357f1dc55f01a1aca48bba495f91521,6.2,1,445,29,44,0,840,477.6,1874.08,566.06,4.95,2202,1.06,1.07,0,798.07,0,0,0,0,0,0,0,207,0,0,0,0,0,0,207,0,0,0.78,0,0,377,28,1776,0,0,0,8,73,1,0,0,0,0,0,0,0,9,49,2,71,422,31,65,18,0.38,0.28,0.05,0.05,0.25,712,127,440.53,2.02E+11
f723ce1b18819e5a0d7d1192250d1f7e,6.3,1,61,8,0,0,1013,252.92,958.75,353.44,7.62,465,0.88,0.96,0,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,720,0,0.87,21,9,0,0,0,8,0,61,0,18,2,2,0,8,0,0,8,0,0,27,0,0,117,0,35,10,0.49,0.23,0,0.11,0.14,0,55,113.19,2.02E+11
b17d998e6aa8b0ea2b56fe6e2bdf12b7,3.5,0,698,63,69,245,5080,629.48,2663.93,427.16,6.76,4715,0.84,0.95,5,690.16,18,4,0.06,7,335.43,0.9,549,693,6,1458.67,1.02,18,0.98,1773,423,3000,240,0.39,161,22,89,3,387,44,252,160,45,176,8,8,13,30,1,13,30,1,13,53,16,252,299,251,30,2,0.9,0.1,0,0,0,1240,0,545.22,2.02E+11
836efd4645e5bfb6b81b37edf0399a9b,3.6,0,498,96,156,43,613,375.29,2454.42,286.17,7.3,3634,0.79,0.98,24,425.83,9,0,0,8,131.5,1.04,207,507,10,1823.2,0.91,9,0.91,283,772,240,0,0.81,61,12,527,123,3144,7,0,9,8,135,24,0,0,5,2,0,5,2,28,102,19,164,373,117,1,0,0,0,0,0,1,304,0,294.12,2.02E+11
bb33d46997db3c72f076c7017f82d29a,3.3,0,626,32,278,19,1027,981.24,1907.97,509.35,4.05,2534,0.82,0.95,1,320.75,0,0,0,0,0,0,95,952,1,1092,1.01,0,0,95,952,800,0,0.62,262,33,429,19,1436,0,0,0,0,118,26,0,0,0,0,0,0,0,30,67,0,376,601,1,20,4,0.65,0.05,0,0.05,0.25,111,0,281.81,2.02E+11
595eb4adc320c2eaddc910a5fcab9188,1.5,0,406,30,34,43,3233,539.25,1667.92,330.44,6.52,2648,0.89,0.98,1,777.33,4,0,0,4,983,1.07,355,272,1,6112,1.58,4,1.07,355,272,1842,0,0.71,88,3,59,10,267,15,0,190,10,46,2,2,0,14,1,0,14,1,2,40,2,27,466,30,59,3,0.15,0.53,0.02,0,0.31,214,0,534.27,2.02E+11
23f4d2b9f105186e6fba9e12da2b2cb5,4.7,0,151,30,3,14,1531,362.57,1352.48,184.64,8.53,1288,0.92,0.97,0,406.4,3,0,0,3,265.33,0.84,130,18,0,0,0,3,0.84,133,18,0,0,1.16,40,20,38,5,493,0,0,0,0,42,4,0,0,0,0,0,0,0,11,15,18,30,61,102,5,3,0.2,0.6,0,0.2,0,131,0,277.09,2.02E+11
d4d395f8f3879cec9059f5caf2acb4b7,6.3,1,1113,37,158,208,2726,739.58,1819.9,707.45,4.23,4710,0.84,1.02,0,882.38,4,2,0.05,4,420,0.67,867,599,0,0,0,4,0.67,867,599,0,0,0.78,223,3,308,12,1150,4,105,128,21,224,7,2,2,2,0,2,2,0,15,51,16,351,924,313,309,32,0.36,0.25,0.03,0.03,0.2,1220,121,472.49,2.02E+11
e9030117eef88951c64623ea5489e3f5,9.4,1,569,55,245,13,2439,668.93,3500.29,423.72,5.74,3266,1.02,1.07,16,1230.4,0,8,0.15,0,0,0,17,1327,16,2024.75,1.07,0,0,17,1327,720,0,0.78,94,6,279,34,1574,7,25,70,0,83,2,1,0,7,0,0,7,0,11,57,0,89,545,0,41,7,0.59,0.15,0,0.12,0.15,1330,58,1012.35,2.02E+11
cc2fafc44248c5753238a4bafba84e14,2.7,0,146,9,65,0,686,311.32,1869.92,328.99,5.14,750,0.8,0.96,1,262.22,0,1,0.11,0,0,0,0,317,1,12,0.9,0,0,0,317,1372,0,0.54,6,1,115,8,411,5,0,72,0,20,0,0,0,5,0,0,5,0,1,23,1,1,253,24,74,7,0.58,0.3,0,0.03,0.09,34,116,189.6,2.02E+11
362b41bc9fe47c9a90c3a3af90eb796c,7.5,1,149,14,109,0,1066,3289.26,3652.94,1009.13,6.75,1006,1.05,1.17,5,3256.29,0,5,0.36,0,0,0,0,721,5,6370.4,1.15,0,0,0,721,0,0,0.64,22,3,118,7,740,3,0,10,0,17,0,0,0,3,0,0,3,0,0,15,1,2,167,1,9,0,0.33,0.33,0,0,0.33,4550,0,2849.25,2.02E+11
e8ee05ab939ba54b3145d98b8cc9ca10,7.5,1,144,19,38,0,2087,625.53,2105.67,425.06,6.95,1001,0.89,0.89,3,558.95,0,0,0,0,0,0,0,320,3,882.67,1.21,0,0,0,320,480,0,0.65,40,3,7,1,23,0,0,17,5,26,3,0,0,0,0,0,0,0,0,19,11,0,141,53,43,10,0.49,0.26,0,0.02,0.19,0,169,410.4,2.02E+11
cd3f31c00b35b19fefd635f1a2b89be6,7.9,1,127,5,76,0,1022,513.57,2598.87,627.94,1.81,230,0.78,0.83,0,421.6,0,0,0,0,0,0,0,96,0,0,0,0,0,0,96,720,0,0.33,78,0,25,2,45,4,0,18,0,7,2,1,0,4,0,0,4,0,0,8,0,0,145,0,6,1,1,0,0,0,0,0,0,263.5,2.02E+11
3ac71773a93aa5ce134297073f65e65c,6,1,72,6,0,13,524,320.11,853.28,412.89,5.04,363,0.77,0.87,0,648.67,0,0,0,0,0,0,18,0,0,0,0,0,0,18,0,1048,0,0.8,0,0,9,5,24,6,0,72,0,7,0,0,0,6,0,0,6,0,0,21,0,0,134,0,53,10,0.43,0.15,0.08,0.04,0.26,122,0,214.48,2.02E+11
40a11dc440977746656b1bf7c7172938,1.1,0,263,18,0,0,6,299.42,1103.04,601.34,3.83,1007,0.85,0.88,0,232.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65,232,18,19,0,84,0,1,0,0,76,0,0,0,0,0,0,0,0,3,17,0,26,246,0,9,2,0.67,0,0,0,0.33,0,0,209,2.02E+11
047477f4513b822bf8ea2e90e3ae6c23,6.1,1,837,116,158,171,2635,298.5,2448.22,522.31,6.8,5692,0.95,1.1,12,362.62,21,9,0.08,13,24.92,1.32,679,882,12,929,1.05,21,1.47,1270,882,720,0,0.75,186,10,336,133,2824,13,122,106,0,200,6,1,7,6,0,7,6,0,50,124,34,238,650,141,92,25,0.47,0.14,0.02,0.07,0.3,337,156,267.25,2.02E+11
f7fb5ccaba6359e7c56a0e10e49afd12,8.3,1,798,49,125,231,5740,710.59,2949.11,680.09,5.15,4108,1.59,0.94,8,846.12,6,6,0.12,4,1042,0.98,522,897,9,2101.33,0.97,6,0.98,1096,612,3222,0,0.79,289,15,49,8,152,14,0,125,131,169,0,0,0,5,9,0,5,9,0,30,50,0,376,559,74,12,0.41,0.05,0.01,0.04,0.36,198,0,540.45,2.02E+11
aad861c332ca88b09bdfba1d2449ad83,5.4,1,47,25,1,11,2820,225.53,1498.47,130.81,18.6,874,1.05,1.02,0,211.04,4,4,0.16,4,45,1.09,135,0,0,0,0,4,1.09,135,0,3480,0,1.53,3,1,1,1,6,14,0,18,0,9,3,0,0,14,0,0,14,0,3,39,2,6,65,3,20,12,0.2,0.35,0,0.4,0.05,0,16,137,2.02E+11
54a1b5af63977d858d818a5141547485,6.7,1,262,20,112,0,75,405.08,2403.54,540.05,5,1311,0.81,0.9,1,205.2,0,0,0,0,0,0,0,446,1,1232,1.12,0,0,0,446,0,150,0.69,118,15,233,17,892,0,0,18,0,55,6,0,0,0,0,0,0,0,16,18,1,147,224,25,45,3,0.49,0.13,0,0,0.2,164,0,144.11,2.02E+11
75115b399a9102a633dc85e69770b3be,6.4,1,547,58,302,60,3700,5061.32,5563.74,685.94,7.93,4339,1.29,1.49,28,7307.52,6,23,0.4,4,3813,1.45,283,2426,29,11454.21,1.54,6,1.53,841,2291,2120,0,1.53,57,11,502,60,3617,17,32,60,6,55,3,0,6,10,1,6,10,1,30,75,5,213,537,31,39,5,0.08,0.21,0.33,0.28,0.08,5463,0,3898.84,2.02E+11
d8a2732ec9a8ca0ffb2963f6190d325f,4.2,0,94,10,15,2,334,631.11,1396.72,421.66,4.06,382,0.89,0.98,0,604,0,0,0,0,0,0,0,7,0,0,0,0,0,0,7,0,0,0.4,13,2,63,6,308,0,19,5,0,37,1,1,0,0,0,0,0,0,3,7,0,49,68,0,11,0,1,0,0,0,0,635,0,604,2.02E+11
9539f6db5fa42440719a928aab9947f3,7,1,174,29,4,37,1937,324.32,1621.31,241.4,7.99,1390,0.97,1.1,0,391.45,4,0,0,3,393.33,1.14,289,18,0,0,0,4,1.1,328,18,1946,0,0.77,2,0,155,33,957,12,4,48,11,37,1,1,0,8,4,0,8,4,7,34,10,59,177,32,7,2,0,0.57,0,0,0.43,227,0,268.94,2.02E+11
3ccc40fe3fb96ab9dd4ecb18e5ba7f79,3.6,0,33,22,1,0,1080,609.45,1159.15,113.45,13.12,433,0.93,0.91,0,551.82,0,0,0,0,0,0,0,23,0,0,0,0,0,0,23,720,240,1.27,15,10,6,3,38,0,0,0,0,18,0,0,0,0,0,0,0,0,2,31,0,2,47,0,11,8,0.27,0.36,0.18,0.09,0,0,344,451.39,2.02E+11
ff54eac4ed58315522318d64e4a27a48,7.3,1,62,20,6,0,600,692.77,2138.97,34.97,8.82,547,0.92,1.08,0,386.2,0,0,0,0,0,0,0,87,0,0,0,0,0,0,87,720,0,0.56,6,4,66,13,351,0,0,0,1,8,1,0,0,0,0,0,0,0,3,25,3,6,68,19,1,1,0,1,0,0,0,228,0,325.81,2.02E+11
49f937d25b3b088e99fbd75499d9d55b,4.5,0,1154,40,322,174,2773,911.19,2032.15,480.81,5.17,5969,1.98,1,0,582.7,3,0,0,3,132,0.89,398,1516,0,0,0,3,0.89,398,1516,2950,0,0.4,602,38,362,7,1550,16,20,355,36,251,14,6,0,13,3,0,13,3,22,47,3,353,1227,36,24,1,1,0,0,0,0,82,0,333.39,2.02E+11
0f67c00699dd56b72388f9b7096c9273,5,1,669,16,257,0,1446,604.9,2468.34,864.53,1.91,1279,0.76,1.48,2,1242,0,2,0.12,0,0,0,0,179,2,2388,0.93,0,0,0,179,874,0,0.59,241,4,220,4,264,4,0,147,38,56,2,1,0,4,0,0,4,0,5,15,0,99,545,49,12,0,0.42,0.42,0,0,0.17,2131,0,1054.2,2.02E+11
5b3a1970b575ed48c8bae36e49455847,8.5,1,1575,67,615,359,832,1544.85,3640.21,697.77,4.86,7647,1.43,0.91,20,1500,0,0,0,0,0,0,2324,1891,20,2750.8,0.83,0,0,2324,1891,12,384,0.7,895,86,804,43,4329,5,0,232,0,159,7,2,0,5,0,0,5,0,11,99,45,185,1259,473,114,14,0.37,0.27,0,0,0.2,681,133,743.23,2.02E+11
2e44816bce3457a098c46886c3d5f73e,2.9,0,643,41,145,0,2021,499.09,1903.88,462.43,5.34,3431,0.86,1.03,0,303.71,0,2,0.05,0,0,0,0,505,0,0,0,0,0,0,505,1516,0,0.71,309,21,271,15,1663,14,1,195,55,69,3,2,0,10,4,0,10,4,0,78,5,42,795,129,114,25,0.63,0.16,0,0.1,0.06,337,0,152.48,2.02E+11
dd9b2c3f0856683e70d14bae5ebf2cf9,6.9,1,1734,142,752,2,2213,1543.59,3056.99,551.95,5.74,9947,1.01,0.9,55,2353.86,0,48,0.34,0,0,0,3,5116,55,3981.96,0.76,0,0,3,5116,1680,0,0.81,1242,161,481,60,3571,27,29,356,0,447,14,7,3,24,0,3,24,0,25,235,29,112,1849,334,34,8,0.29,0,0.03,0,0.59,1950,48,1215.28,2.02E+11
4fd42877fcb7aee12967dcb8f9532944,9.6,1,228,11,115,112,321,1027.33,4058.82,593.63,6.29,1433,0.93,0.98,4,852,7,4,0.36,5,328.8,0.92,517,913,6,1288,1.04,7,0.99,822,608,0,0,1.03,87,0,206,19,1359,1,0,3,0,33,0,0,0,1,0,0,1,0,6,13,2,107,184,7,4,2,0.25,0,0,0,0.25,536,0,485.14,2.02E+11
cd49b1ba2cda6d3c2ed2985165c3b899,9.2,1,744,70,218,123,2352,816.16,2959.69,441.4,6.62,4922,0.85,0.98,20,1081.37,18,11,0.16,16,275.25,1.06,644,1630,21,1851.62,1.09,18,1.06,999,1606,0,0,0.17,464,44,219,34,1954,2,36,12,0,139,6,0,1,1,0,1,1,0,18,86,0,255,700,0,4,1,1,0,0,0,0,585,0,741.27,2.02E+11
bc94e0142fae95d399b085a43b686789,9.2,1,748,39,170,181,1554,702.43,2500.09,529.23,4.66,3482,0.79,0.88,3,698.77,7,4,0.1,3,218.67,0.9,346,756,3,1260,0.79,7,0.96,867,574,294,0,0.47,367,22,262,47,1765,4,46,208,0,97,3,0,1,3,0,1,3,0,22,56,0,177,751,0,8,1,0.62,0.38,0,0,0,412,0,437.18,2.02E+11
9b2a203f1a5eb3a4a8160145141e781e,7.1,1,231,15,129,0,25,1379.26,3676.4,727.6,4.85,1120,0.78,1,1,1736,0,1,0.07,0,0,0,0,156,1,872,0.71,0,0,0,156,0,50,0.25,100,14,131,1,153,0,0,0,0,48,4,0,0,0,0,0,0,0,3,16,0,18,239,0,2,0,1,0,0,0,0,872,0,1488.84,2.02E+11
9bed6a8feec9751871b4be9c22b3a159,7.5,1,158,33,35,23,2700,420.13,2545.37,299.34,8.28,1309,1.11,1.02,5,666.3,5,3,0.09,5,570.4,1.15,209,272,5,1776.8,0.83,5,1.15,209,272,1680,0,0.8,53,12,42,4,161,19,3,75,0,11,0,0,0,19,0,0,19,0,4,34,0,34,138,0,1,0,0,0,0,0,1,2071,0,588.74,2.02E+11
9877c49ce9fe65ec2132d18ba38c6d8d,6.2,1,271,39,2,27,1030,1163.2,2253.27,675.51,5.97,1619,0.82,0.94,1,1080.82,0,0,0,0,0,0,62,42,1,2364,1.26,0,0,62,42,960,0,0.38,233,34,71,27,422,11,0,90,0,80,7,1,0,11,0,0,11,0,0,70,9,0,404,63,44,3,0.61,0.36,0,0,0.02,660,0,577.47,2.02E+11
306cdf4dbb4a6d6747b1f023e51933d0,7.8,1,1070,70,109,171,521,857.51,2596.95,657.4,4.54,4860,0.92,1.03,4,1392.06,12,4,0.06,6,514,0.98,598,558,9,4465.78,0.98,12,1.09,982,208,0,0,0.32,655,50,354,24,1378,0,0,0,0,212,11,0,0,0,0,0,0,0,21,74,5,399,906,22,32,4,0.91,0.06,0,0,0.03,2520,0,995.96,2.02E+11
0ef10f55e2de7b6b2c7a9bbceca1b52e,6.9,1,1365,74,435,219,2531,839.5,3058.59,1058.8,5.13,6997,4.61,1.02,18,1026.92,10,12,0.16,7,282.86,0.92,920,2133,21,1300.57,1.03,10,0.93,1328,1925,634,0,0.5,981,65,218,28,1000,14,55,111,0,271,12,0,1,13,0,1,13,0,54,60,0,541,1053,0,7,2,0.14,0.86,0,0,0,705,0,738.18,2.02E+11
9059cac8ef91d4185a32df283f1861df,8.8,1,164,5,79,8,850,838.76,2492.02,599.73,3.29,540,0.81,0.99,0,307.2,0,0,0,0,0,0,31,93,0,0,0,0,0,31,93,856,0,0.49,20,0,116,4,173,4,0,38,0,11,0,0,0,4,0,0,4,0,3,7,0,55,128,3,6,0,0.67,0.33,0,0,0,230,0,245.6,2.02E+11
584ae28eda2369cd254fe3205f6300c3,7.9,1,717,46,196,215,120,824.17,3233.04,695.56,5.36,3840,1.34,0.99,10,832.61,9,7,0.15,4,300,0.94,379,1157,14,1506.86,1.03,9,1.09,1064,879,0,0,0.6,0,0,816,75,4138,0,0,47,6,136,18,0,0,0,0,0,0,0,0,72,21,71,594,306,68,14,0.5,0.26,0,0.01,0.19,535,94,457.59,2.02E+11
165793ae4a9ad47cd4cc079fec75b8f1,5.7,1,657,38,266,23,2728,693.47,3480.58,590.99,4.37,2870,0.89,0.94,4,458.21,3,4,0.11,3,1148,0.95,272,747,4,1399,0.72,3,0.95,272,747,2560,0,0.81,308,21,207,7,644,20,19,229,0,112,2,1,0,20,0,0,20,0,8,49,0,209,577,0,1,0,0,0,0,0,1,799,0,312.84,2.02E+11
3c8ae9ab5e5526114477e99179a8ad12,4.8,0,525,99,57,90,6677,166.98,1824.91,157.78,9.8,5147,1.19,1.13,9,179.39,18,0,0,22,255.45,1.57,1159,656,5,264,1.12,18,0.98,1147,671,4098,354,0.88,87,8,325,58,1522,49,1,194,46,95,8,3,0,46,3,0,46,3,4,161,23,39,745,208,255,40,0.49,0.14,0.06,0.12,0.16,69,84,121.77,2.02E+11
2f840e664922cd5532a517b4ddc49f0d,5.9,1,858,38,260,121,240,1099.83,2820.4,638.8,4.8,4120,0.86,0.96,1,511.89,0,4,0.11,0,0,0,177,1202,1,12,0.97,0,0,444,935,0,0,1.25,246,4,886,62,3851,0,0,0,0,159,11,0,0,0,0,0,0,0,4,29,34,98,626,417,9,1,0,0,0.11,0,0.67,340,0,363.22,2.02E+11
21bb687b6250655933cad690986e1b4b,3.2,0,85,17,6,0,212,443.2,1399.15,387.95,7.4,629,0.98,1.05,3,312.94,0,1,0.06,0,0,0,0,88,3,540,1.01,0,0,0,88,424,0,0.81,0,0,85,24,643,0,0,0,0,48,7,0,0,0,0,0,0,0,3,35,10,8,112,39,41,18,0.29,0.24,0,0.02,0.24,249,197,208.58,2.02E+11
