student_id,TotalScore,BinaryScore,nb_Subs,nb_CompleteSubs,av_CompleteSubs,nb_PointsAwarded,av_styleLength,av_ErrorLength,av_nmbSuccessTests,av_subLength,av_DiffRatio,nb_MockSubs,av_MockSubs,av_CompletedDiffRatio,nb_CompleteImportance3Subs,av_CompleteImportance3DiffRatio,av_MockDiffratio,nb_MockSuccessTests,nb_JanuaryImportance3SuccessTests,avdiffDeadline.1,nmbrDecemberSubs,nmbrCompleteDecemberSubs,nmbrJanuarySubs,nmbrCompleteJanuarySubs,nmbrSuccessTestsJanuary,nbCompleteOnTimeSubs.1,nmbMorningSubsOnTIme,nmbDaySubsOnTIme,nmbNightSubsOnTIme,nmbrAlmostCheat.1,nmbrCheat.1,nmbrCheatOnTime.1,nmbMorningubsOnTImeCompleted,nmbDaySubsOnTImeCompleted,nmbNightSubsOnTImeCompleted,nmbMorningubsOnTImeCompleted.1,nmbDaySubsOnTImeCompleted.1,nmbNightSubsOnTImeCompleted.1,nbMorningCompleteSubs,nDayCompleteSubs,nbNightCompleteSubs,nbMorningSubs,nmbDaySubs,nmbNightSubs,nmbrOctoberSubs,nmbrCompleteOctoberSubs,avNmbrShort_05,avNmbrQuiteShort_075,avNmbrQuiteLong_15,avNmbrLong_2,avNmbrAroundSol_0.25,avStyleLengthCompltedSubsJanuary,avStyleLengthCompltedSubsOctober,avStyleLength,Avsubtime
a56f73efc6ea02b290bee5650394a874,10,1,95,51,0.54,2520,61.77,15.07,4.53,1220.29,0.91,15,0.16,1.17,11,0.62,0.59,109,8,0.89,197,18,11,9,8,59,198,302,0,128,3,1,27,32,0,27,32,0,40,87,0,357,523,0,72,37,0.47,0.18,0,0.14,0.1,115,5,237.35,2.02E+11
ca6ae3e3002f2daddc942c0609e48f9f,3,0,115,12,0.1,315,85.88,12.17,3.27,458.71,0.88,1,0.01,1.17,0,0,0.05,5,0,0.68,0,0,1,0,5,0,0,0,0,7,5,0,0,0,0,0,0,0,0,12,0,9,106,0,92,12,0.6,0.14,0,0.1,0.14,0,0,0,2.02E+11
3931eae4cdc0412af1a5f55122c10d61,2,0,85,44,0.52,1348,111.72,57.08,3.45,2928.56,0.79,0,0,0.99,0,0,0,0,0,1.22,166,36,24,18,218,58,52,240,30,110,6,4,10,40,8,10,40,8,19,116,18,71,516,117,56,20,0.41,0.16,0,0.04,0.39,92,47,431.92,2.02E+11
6b6d7ccb2d17389de91cd8135aaacb5a,2.25,0,356,46,0.13,269,214.35,39.09,3.08,978.13,0.68,18,0.05,0.98,0,0,0.57,128,128,0.73,280,17,789,82,4423,1,0,2,0,243,34,0,0,1,0,0,1,0,26,101,3,315,998,31,100,9,0.33,0.21,0.02,0.03,0.41,503,311,476.43,2.02E+11
7778d80908ace05501a05067b903b7e2,4,0,216,38,0.18,979,122.11,53.15,5.18,1731.13,0.67,43,0.2,0.76,4,0.63,0.94,454,336,0.53,412,14,386,19,1762,7,0,189,7,211,18,0,0,6,1,0,6,1,1,60,3,45,1154,68,39,12,0.62,0.15,0,0,0.18,640,31,503.94,2.02E+11
a357f1dc55f01a1aca48bba495f91521,5,1,79,31,0.39,1816,94.84,42.13,5.24,1703.49,0.88,8,0.1,1.08,0,0,1.04,98,0,0.78,0,0,377,28,1776,0,0,0,8,73,1,0,0,0,0,0,0,0,9,49,2,71,422,31,65,18,0.38,0.28,0.05,0.05,0.25,712,127,440.53,2.02E+11
f723ce1b18819e5a0d7d1192250d1f7e,3,0,56,19,0.34,1146,83.21,1.71,3.43,605.57,0.88,0,0,1.03,0,0,0,0,0,0.87,21,9,0,0,0,8,0,61,0,18,2,2,0,8,0,0,8,0,0,27,0,0,117,0,35,10,0.49,0.23,0,0.11,0.14,0,55,113.19,2.02E+11
b17d998e6aa8b0ea2b56fe6e2bdf12b7,7,1,104,16,0.15,170,122.46,34.62,3.03,1200.69,0.48,1,0.01,0.9,0,0,1.13,6,6,0.39,161,22,89,3,387,44,252,160,45,176,8,8,13,30,1,13,30,1,13,53,16,252,299,251,30,2,0.9,0.1,0,0,0,1240,0,545.22,2.02E+11
bb33d46997db3c72f076c7017f82d29a,3.5,0,352,60,0.17,360,132.56,78.73,2.92,1122.34,0.6,69,0.2,1.37,4,0.63,0.37,317,168,0.62,262,33,429,19,1436,0,0,0,0,118,26,0,0,0,0,0,0,0,30,67,0,376,601,1,20,4,0.65,0.05,0,0.05,0.25,111,0,281.81,2.02E+11
d4d395f8f3879cec9059f5caf2acb4b7,2,0,475,45,0.09,858,182.46,42.32,2.23,904.23,0.72,13,0.03,0.93,3,0.26,0.19,23,20,0.78,223,3,308,12,1150,4,105,128,21,224,7,2,2,2,0,2,2,0,15,51,16,351,924,313,309,32,0.36,0.25,0.03,0.03,0.2,1220,121,472.49,2.02E+11
e9030117eef88951c64623ea5489e3f5,7.5,1,65,11,0.17,708,86.58,40.68,3.14,958.28,0.66,12,0.18,1.23,2,0.26,0.54,29,20,0.78,94,6,279,34,1574,7,25,70,0,83,2,1,0,7,0,0,7,0,11,57,0,89,545,0,41,7,0.59,0.15,0,0.12,0.15,1330,58,1012.35,2.02E+11
cc2fafc44248c5753238a4bafba84e14,5,1,132,16,0.12,336,169.91,40.18,2.83,643.27,0.55,7,0.05,0.87,0,0,0.16,37,0,0.54,6,1,115,8,411,5,0,72,0,20,0,0,0,5,0,0,5,0,1,23,1,1,253,24,74,7,0.58,0.3,0,0.03,0.09,34,116,189.6,2.02E+11
362b41bc9fe47c9a90c3a3af90eb796c,6.5,1,21,2,0.1,83,164.19,170.48,2.33,1279.24,0.74,4,0.19,1.3,1,0.14,0.58,1,1,0.64,22,3,118,7,740,3,0,10,0,17,0,0,0,3,0,0,3,0,0,15,1,2,167,1,9,0,0.33,0.33,0,0,0.33,4550,0,2849.25,2.02E+11
e8ee05ab939ba54b3145d98b8cc9ca10,9,1,50,11,0.22,100,174.4,87.84,3.72,981.12,0.61,17,0.34,1.15,0,0,0.37,78,6,0.65,40,3,7,1,23,0,0,17,5,26,3,0,0,0,0,0,0,0,0,19,11,0,141,53,43,10,0.49,0.26,0,0.02,0.19,0,169,410.4,2.02E+11
cd637744f199213fb62205f9d4b02076,3.5,0,150,22,0.15,748,161.52,65.01,3.37,848.85,0.61,7,0.05,0.85,0,0,0.26,16,16,0.57,175,20,15,0,32,0,0,0,0,39,6,0,0,0,0,0,0,0,1,31,0,15,268,0,87,10,0.57,0.25,0,0.05,0.13,0,0,91.5,2.02E+11
3ac71773a93aa5ce134297073f65e65c,3,0,62,15,0.24,356,81.03,35.81,3.63,374.65,0.8,0,0,1.22,0,0,0,0,0,0.8,0,0,9,5,24,6,0,72,0,7,0,0,0,6,0,0,6,0,0,21,0,0,134,0,53,10,0.43,0.15,0.08,0.04,0.26,122,0,214.48,2.02E+11
